FIX
1.0	0.000	0.000	0.000
TRIP
DATE 2009-06-27 
DECLINATION     0.00
DATA
1.28		240.97	-2.55	10.423	<
1.28		223.89	-8.65	5.938	<
1.28		84.49	47.56	2.175	<
1.28	1.29	217.48	-67.06	14.894	<
1.28	1.30	232.77	73.56	17.837	<
1.28	1.31	167.02	27.72	3.848	<
1.31		42.58	-5.81	2.422	<
1.31		20.97	-74.19	1.416	<
1.31		57.02	67.41	2.166	<
1.31		104.20	6.32	4.007	<
1.31	1.32	119.45	1.89	4.764	<
1.32		36.88	19.21	0.812	<
1.32		232.35	4.35	2.282	<
1.32		346.97	79.72	0.621	<
1.32	1.33	111.48	20.30	6.188	<
1.32	1.34	147.25	14.59	7.970	<
1.34		270.66	2.31	1.466	<
1.34		74.08	8.48	1.091	<
1.34		60.38	63.80	3.303	<
1.34		333.15	-10.66	3.509	<
1.34		303.49	-12.28	3.865	<
1.34	1.35	163.66	15.37	2.853	<
1.35		306.13	10.46	1.338	<
1.35		316.27	79.05	8.546	<
1.35		1.06	-85.23	1.299	<
1.35		219.89	-10.67	2.020	<
1.35		255.10	-14.54	2.358	<
1.35	1.36	262.21	-28.67	5.625	<
1.36		183.52	4.03	1.209	<
1.36		78.20	-85.26	0.829	<
1.36		187.36	70.83	2.662	<
1.36		119.46	24.47	1.557	<
1.36		51.87	27.18	2.813	<
1.36		241.05	-26.75	3.001	<
1.36	1.37	266.59	-16.56	5.118	<
1.37		152.22	0.00	1.118	<
1.37		161.62	70.38	1.974	<
1.37		256.46	-85.39	1.381	<
1.37		53.61	-14.34	1.716	<
1.37		225.38	-4.29	4.109	<
1.37		206.19	-5.24	4.195	<
1.37	1.38	183.99	-12.19	6.177	>
1.38		85.17	5.06	1.419	>
1.38		67.89	69.11	2.243	>
1.38		255.74	-10.92	0.840	>
1.38		174.41	-27.02	3.298	>
1.38		171.29	-61.22	0.782	>
1.38		9.69	15.85	3.031	>
1.38		158.74	-5.28	4.453	>
1.38		199.36	-10.06	11.680	>
1.38		160.33	-5.28	13.465	>
1.38		161.68	-9.79	11.799	>
1.38	1.39	170.48	-10.54	11.752	>
1.38	1.40	169.80	-5.68	11.655	>
1.37	1.41	233.45	-13.33	8.883	<
1.41		59.60	-18.72	1.857	<
1.41		23.65	-80.86	2.213	<
1.41		91.79	-2.42	2.884	<
1.41		33.42	43.64	7.898	<
1.41	1.42	323.06	-29.09	3.100	>
1.42		205.45	-2.49	1.404	>
1.42		181.23	60.11	2.156	>
1.42		205.95	-68.65	1.707	>
1.42		267.12	-50.61	2.726	>
1.42		276.66	-39.89	4.742	>
1.41	1.43	143.68	-10.21	1.980	<
1.43		54.02	9.86	0.169	<
1.43		76.60	51.45	4.009	<
1.43		39.97	-63.46	0.777	<
1.43		268.49	3.43	0.837	<
1.43		143.76	-33.61	2.058	<
1.43		105.76	3.15	4.929	<
1.43		186.21	-17.17	6.577	<
1.43	1.44	211.71	-15.45	5.679	<
1.44		8.93	-5.66	3.417	<
1.44		60.26	-68.81	1.227	<
1.44		19.38	67.78	5.140	<
1.44		97.74	-1.74	12.149	<
1.44		92.36	-11.89	10.389	<
1.44	1.45	297.94	15.87	9.313	<
1.45		139.95	-0.50	6.344	<
1.45		139.55	-38.36	7.315	<
1.45		166.86	87.75	4.361	<
1.45		145.80	53.64	6.708	<
1.45		79.51	-35.54	5.345	<
1.45		99.48	-38.87	5.856	<
1.45		195.76	20.03	5.843	<
1.45	1.46	198.70	32.67	11.536	<
1.46		70.01	-29.89	10.096	<
1.46		101.67	-26.43	13.780	<
1.46		125.64	-21.37	16.216	<
1.46		157.91	-14.40	26.885	<
1.46		139.23	-27.48	17.061	<
1.46		131.66	-24.47	17.878	<
1.46		144.70	-27.25	21.799	<
1.46		166.70	-18.27	19.179	<
